t,x,y,z,vx,vy,vz,speed,target_error,target_age_s,obstacle_clearance,goal_distance
23.65,-725.0628011484482,-21.136566471883636,17.890301544390727,49.57302734917097,-2.407100594279378,10.116734377645997,50.65202353608864,,,,
23.7,-728.5077916375116,-21.269066751165163,17.971094185239195,49.690652438017345,-2.4128518314727314,10.140758880428143,50.772214688227486,,,,
23.75,-730.2333486788432,-21.33543364066672,18.011562797067814,49.749464982442326,-2.4157274500376564,10.152771131818692,50.83231026431133,,,,
23.8,-733.6905863551066,-21.46840091939142,18.09264460353383,49.86709007129626,-2.4214786871036553,10.17679563459549,50.952501416507445,,,,
23.85,-735.4222669900382,-21.535001308614568,18.133257798171222,49.92590261572465,-2.424354305604878,10.188807885983657,51.01259699261947,,,,
23.9,-738.8917518535017,-21.668435586782437,18.21462877025479,50.043527704583234,-2.43010554254496,10.212832388766977,51.13278814487183,,,,
23.95,-740.6295560820334,-21.735269475727172,18.255386547700958,50.10234024901447,-2.4329811609847076,10.224844640156647,51.19288372101206,,,,
24.0,-744.1112881326972,-21.869170753338214,18.337046685402075,50.21996533788043,-2.438732397806236,10.248869142932328,51.313074873320275,,,,
24.05,-745.855215954829,-21.93623814200453,18.37794904565702,50.27877788231402,-2.441608016189149,10.260881394322848,51.37317044948802,,,,
24.1,-749.3491951926927,-22.070606419058745,18.459898348975685,50.396402971183875,-2.447359252903051,10.284905897105306,51.49336160185148,,,,
24.15,-751.0992466084246,-22.137907307446646,18.5009452920394,50.45521551562048,-2.450234871235688,10.296918148494168,51.55345717804692,,,,
24.2,-754.6054730334884,-22.272742583944034,18.583183760975615,50.57284060449593,-2.455986107856617,10.32094265127049,51.673648330464836,,,,
24.25,-756.3616480428203,-22.340276972053523,18.624375286848107,50.63165314893379,-2.458861726146687,10.332954902662745,51.73374390668733,,,,
24.3,-759.8801216550842,-22.47557924799408,18.706902921401873,50.749278237812284,-2.464612962691036,10.356979405443314,51.85393505915948,,,,
24.35,-761.6424202580162,-22.543347135825154,18.74823903008314,50.80809078225276,-2.4674885809472737,10.368991656831406,51.91403063540898,,,,
24.4,-763.4067600588148,-22.611192856896757,18.789623333034,50.86690332669373,-2.4703641991941856,10.381003908218844,51.97412621166729,,,,
24.45,-766.9415632540122,-22.747117798761543,18.8725365217445,50.984528415575134,-2.476115435663905,10.40502841100179,52.094317364210426,,,,
24.5,-768.7120266484109,-22.815197019554734,18.914065407504133,51.04334096001671,-2.478991053888803,10.417040662391976,52.15441294049534,,,,
24.55,-772.2590770308085,-22.95158896086269,18.99726776183218,51.160966048901415,-2.484742290323451,10.441065165168132,52.27460409309144,,,,
24.6,-774.0356640188072,-23.019901681377466,19.03894123040059,51.21977859334362,-2.4876179085349217,10.453077416557324,52.33469966940238,,,,
24.65,-777.5949615884048,-23.156760622128594,19.122432750346185,51.337403682227716,-2.493369144950762,10.47710191934057,52.45489082205062,,,,
24.7,-779.3776721700036,-23.225306842364954,19.16425080172337,51.39621622667038,-2.496244763156985,10.48911417072986,52.514986398387755,,,,
24.75,-782.9492169268012,-23.362632782559253,19.248031487286518,51.51384131555616,-2.501995999569983,10.51313867350541,52.63517755108763,,,,
24.8,-784.7906947723457,-23.433436613728514,19.29122904618012,51.57438364071697,-2.504956194784218,10.525504226408447,52.697040644402264,,,,
24.85,-788.3746067868061,-23.5712341317919,19.37530173231786,51.692008729601135,-2.5107074312073836,10.549528729190087,52.817231797153916,,,,
